Ticket,Category
VPN not connecting,Network
Forgot password,Login
Battery draining fast,Hardware
App crashing,Technical
Internet not working,Network
Cannot login,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
OTP not received,Login
Screen flickering,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
App crashing,Technical
Wifi slow,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Keyboard not working,Hardware
App crashing,Technical
VPN not connecting,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
Account locked,Login
Keyboard not working,Hardware
Error 404,Technical
VPN not connecting,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Keyboard not working,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Network disconnecting,Network
OTP not received,Login
Keyboard not working,Hardware
App crashing,Technical
Internet not working,Network
Forgot password,Login
Laptop overheating,Hardware
App crashing,Technical
VPN not connecting,Network
Account locked,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
OTP not received,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Laptop overheating,Hardware
App crashing,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Screen flickering,Hardware
App crashing,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Internet not working,Network
Account locked,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
OTP not received,Login
Battery draining fast,Hardware
App crashing,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
System very slow,Technical
VPN not connecting,Network
Forgot password,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
App crashing,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
System very slow,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Forgot password,Login
Battery draining fast,Hardware
System very slow,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
System very slow,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
Network disconnecting,Network
OTP not received,Login
Laptop overheating,Hardware
System very slow,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Wifi slow,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
OTP not received,Login
Keyboard not working,Hardware
System very slow,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
OTP not received,Login
Battery draining fast,Hardware
Software not installing,Technical
Internet not working,Network
Forgot password,Login
Battery draining fast,Hardware
Error 404,Technical
Internet not working,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
Network disconnecting,Network
OTP not received,Login
Battery draining fast,Hardware
System very slow,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
Network disconnecting,Network
OTP not received,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
OTP not received,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
App crashing,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
Error 404,Technical
Wifi slow,Network
Forgot password,Login
Laptop overheating,Hardware
Error 404,Technical
Network disconnecting,Network
Account locked,Login
Battery draining fast,Hardware
System very slow,Technical
VPN not connecting,Network
Forgot password,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
OTP not received,Login
Laptop overheating,Hardware
App crashing,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
Software not installing,Technical
Internet not working,Network
Account locked,Login
Keyboard not working,Hardware
App crashing,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
System very slow,Technical
Network disconnecting,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
App crashing,Technical
Wifi slow,Network
Account locked,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
OTP not received,Login
Battery draining fast,Hardware
Software not installing,Technical
VPN not connecting,Network
OTP not received,Login
Battery draining fast,Hardware
App crashing,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
App crashing,Technical
Network disconnecting,Network
OTP not received,Login
Screen flickering,Hardware
Software not installing,Technical
Internet not working,Network
Forgot password,Login
Laptop overheating,Hardware
Error 404,Technical
Network disconnecting,Network
OTP not received,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
OTP not received,Login
Laptop overheating,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
Internet not working,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Keyboard not working,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
App crashing,Technical
Wifi slow,Network
Forgot password,Login
Laptop overheating,Hardware
Error 404,Technical
Internet not working,Network
OTP not received,Login
Keyboard not working,Hardware
App crashing,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
System very slow,Technical
Network disconnecting,Network
Forgot password,Login
Screen flickering,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
OTP not received,Login
Battery draining fast,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
Forgot password,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
Forgot password,Login
Screen flickering,Hardware
Error 404,Technical
Network disconnecting,Network
OTP not received,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
Wifi slow,Network
Account locked,Login
Laptop overheating,Hardware
App crashing,Technical
VPN not connecting,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Screen flickering,Hardware
Software not installing,Technical
VPN not connecting,Network
OTP not received,Login
Battery draining fast,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Account locked,Login
Screen flickering,Hardware
Error 404,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
System very slow,Technical
Internet not working,Network
Forgot password,Login
Battery draining fast,Hardware
App crashing,Technical
Internet not working,Network
Forgot password,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
Internet not working,Network
Forgot password,Login
Laptop overheating,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
Account locked,Login
Screen flickering,Hardware
Error 404,Technical
Wifi slow,Network
OTP not received,Login
Screen flickering,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
System very slow,Technical
Wifi slow,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Error 404,Technical
Network disconnecting,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
System very slow,Technical
Internet not working,Network
Forgot password,Login
Battery draining fast,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
Internet not working,Network
Forgot password,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Account locked,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
System very slow,Technical
Internet not working,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
App crashing,Technical
VPN not connecting,Network
Cannot login,Login
Battery draining fast,Hardware
App crashing,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Battery draining fast,Hardware
App crashing,Technical
VPN not connecting,Network
Cannot login,Login
Screen flickering,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Keyboard not working,Hardware
App crashing,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Battery draining fast,Hardware
App crashing,Technical
VPN not connecting,Network
OTP not received,Login
Screen flickering,Hardware
System very slow,Technical
Wifi slow,Network
OTP not received,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Laptop overheating,Hardware
Error 404,Technical
Network disconnecting,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
Wifi slow,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Internet not working,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Forgot password,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Internet not working,Network
Cannot login,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Laptop overheating,Hardware
App crashing,Technical
Wifi slow,Network
Account locked,Login
Laptop overheating,Hardware
App crashing,Technical
Internet not working,Network
Forgot password,Login
Battery draining fast,Hardware
App crashing,Technical
Network disconnecting,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Forgot password,Login
Battery draining fast,Hardware
System very slow,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
App crashing,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
OTP not received,Login
Battery draining fast,Hardware
App crashing,Technical
Internet not working,Network
Forgot password,Login
Keyboard not working,Hardware
Error 404,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
Error 404,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
Account locked,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
OTP not received,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
VPN not connecting,Network
Forgot password,Login
Laptop overheating,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Internet not working,Network
Forgot password,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Battery draining fast,Hardware
App crashing,Technical
Wifi slow,Network
OTP not received,Login
Screen flickering,Hardware
Software not installing,Technical
Wifi slow,Network
Forgot password,Login
Screen flickering,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
VPN not connecting,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
System very slow,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
Network disconnecting,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
Wifi slow,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Screen flickering,Hardware
App crashing,Technical
Wifi slow,Network
Cannot login,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
Account locked,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Battery draining fast,Hardware
System very slow,Technical
Internet not working,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
Error 404,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
System very slow,Technical
Internet not working,Network
Forgot password,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Cannot login,Login
Keyboard not working,Hardware
Error 404,Technical
VPN not connecting,Network
Account locked,Login
Laptop overheating,Hardware
Error 404,Technical
Internet not working,Network
OTP not received,Login
Screen flickering,Hardware
Error 404,Technical
VPN not connecting,Network
Account locked,Login
Battery draining fast,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Battery draining fast,Hardware
Software not installing,Technical
Internet not working,Network
Account locked,Login
Screen flickering,Hardware
App crashing,Technical
VPN not connecting,Network
Forgot password,Login
Laptop overheating,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Screen flickering,Hardware
Software not installing,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Network disconnecting,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
Internet not working,Network
Cannot login,Login
Keyboard not working,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
App crashing,Technical
Network disconnecting,Network
Forgot password,Login
Keyboard not working,Hardware
App crashing,Technical
Internet not working,Network
Forgot password,Login
Laptop overheating,Hardware
System very slow,Technical
VPN not connecting,Network
Account locked,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Screen flickering,Hardware
Software not installing,Technical
Internet not working,Network
Forgot password,Login
Screen flickering,Hardware
Software not installing,Technical
VPN not connecting,Network
OTP not received,Login
Laptop overheating,Hardware
Software not installing,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
System very slow,Technical
VPN not connecting,Network
OTP not received,Login
Keyboard not working,Hardware
System very slow,Technical
Wifi slow,Network
Forgot password,Login
Battery draining fast,Hardware
App crashing,Technical
VPN not connecting,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
Forgot password,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Screen flickering,Hardware
App crashing,Technical
VPN not connecting,Network
Account locked,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Screen flickering,Hardware
Error 404,Technical
Internet not working,Network
Cannot login,Login
Battery draining fast,Hardware
Error 404,Technical
Wifi slow,Network
Account locked,Login
Keyboard not working,Hardware
Error 404,Technical
Wifi slow,Network
OTP not received,Login
Keyboard not working,Hardware
Error 404,Technical
Wifi slow,Network
Forgot password,Login
Laptop overheating,Hardware
Error 404,Technical
Network disconnecting,Network
Account locked,Login
Laptop overheating,Hardware
Software not installing,Technical
VPN not connecting,Network
Cannot login,Login
Battery draining fast,Hardware
Error 404,Technical
Network disconnecting,Network
Account locked,Login
Screen flickering,Hardware
App crashing,Technical
VPN not connecting,Network
Cannot login,Login
Laptop overheating,Hardware
Error 404,Technical
VPN not connecting,Network
Cannot login,Login
Screen flickering,Hardware
System very slow,Technical
Wifi slow,Network
Cannot login,Login
Screen flickering,Hardware
System very slow,Technical
Network disconnecting,Network
Forgot password,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
Forgot password,Login
Screen flickering,Hardware
App crashing,Technical
Wifi slow,Network
OTP not received,Login
Screen flickering,Hardware
Error 404,Technical
VPN not connecting,Network
Account locked,Login
Keyboard not working,Hardware
Software not installing,Technical
VPN not connecting,Network
Forgot password,Login
Screen flickering,Hardware
Software not installing,Technical
Network disconnecting,Network
Account locked,Login
Battery draining fast,Hardware
System very slow,Technical
